,SHSZ300 Index
2021-02-03,5485.2
2021-02-04,5473.95
2021-02-05,5483.41
2021-02-08,5564.56
2021-02-09,5686.25
2021-02-10,5807.72
2021-02-18,5768.38
2021-02-19,5778.84
2021-02-22,5597.33
2021-02-23,5579.67
2021-02-24,5437.57
2021-02-25,5469.56
2021-02-26,5336.76
2021-03-01,5418.78
2021-03-02,5349.63
2021-03-03,5452.21
2021-03-04,5280.71
2021-03-05,5262.8
2021-03-08,5080.02
2021-03-09,4971.0
2021-03-10,5003.61
2021-03-11,5128.22
2021-03-12,5146.38
2021-03-15,5035.54
2021-03-16,5079.36
2021-03-17,5100.86
2021-03-18,5141.77
2021-03-19,5007.09
2021-03-22,5057.15
2021-03-23,5009.25
2021-03-24,4928.69
2021-03-25,4926.35
2021-03-26,5037.99
2021-03-29,5046.88
2021-03-30,5094.73
2021-03-31,5048.36
2021-04-01,5110.78
2021-04-02,5161.56
2021-04-06,5140.34
2021-04-07,5103.74
2021-04-08,5112.21
2021-04-09,5035.34
2021-04-12,4947.75
2021-04-13,4939.64
2021-04-14,4980.63
2021-04-15,4948.97
2021-04-16,4966.18
2021-04-19,5087.02
2021-04-20,5083.37
2021-04-21,5098.74
2021-04-22,5089.24
2021-04-23,5135.45
2021-04-26,5077.24
2021-04-27,5090.52
2021-04-28,5119.24
2021-04-29,5164.17
2021-04-30,5123.49
2021-05-06,5061.12
2021-05-07,4996.05
2021-05-10,4992.42
2021-05-11,5023.06
2021-05-12,5044.55
2021-05-13,4992.97
2021-05-14,5110.59
2021-05-17,5184.98
2021-05-18,5187.6
2021-05-19,5172.27
2021-05-20,5186.41
2021-05-21,5134.15
2021-05-24,5155.59
2021-05-25,5318.48
2021-05-26,5320.59
2021-05-27,5338.23
2021-05-28,5321.09
2021-05-31,5331.57
2021-06-01,5341.68
2021-06-02,5289.97
2021-06-03,5255.29
2021-06-04,5282.28
2021-06-07,5277.63
2021-06-08,5232.12
2021-06-09,5236.45
2021-06-10,5271.47
2021-06-11,5224.7
2021-06-15,5166.56
2021-06-16,5080.49
2021-06-17,5101.89
2021-06-18,5102.47
2021-06-21,5090.39
2021-06-22,5122.16
2021-06-23,5147.39
2021-06-24,5155.97
2021-06-25,5239.97
2021-06-28,5251.76
2021-06-29,5190.54
2021-06-30,5224.04
2021-07-01,5229.66
2021-07-02,5081.12
2021-07-05,5085.79
2021-07-06,5083.1
2021-07-07,5140.49
2021-07-08,5088.26
2021-07-09,5069.44
2021-07-12,5132.71
2021-07-13,5142.1
2021-07-14,5083.08
2021-07-15,5151.46
2021-07-16,5094.77
2021-07-19,5113.5
2021-07-20,5108.99
2021-07-21,5144.04
2021-07-22,5151.75
2021-07-23,5089.23
2021-07-26,4925.3
2021-07-27,4751.31
2021-07-28,4760.48
2021-07-29,4850.27
2021-07-30,4811.17
2021-08-02,4933.74
2021-08-03,4934.46
2021-08-04,4978.85
2021-08-05,4948.67
2021-08-06,4921.56
2021-08-09,4985.56
2021-08-10,5043.15
2021-08-11,5015.34
2021-08-12,4973.35
2021-08-13,4945.98
2021-08-16,4941.07
2021-08-17,4837.4
2021-08-18,4894.24
2021-08-19,4862.14
2021-08-20,4769.27
2021-08-23,4835.88
2021-08-24,4888.39
2021-08-25,4898.16
2021-08-26,4801.61
2021-08-27,4827.04
2021-08-30,4813.27
2021-08-31,4805.61
2021-09-01,4869.46
2021-09-02,4869.41
2021-09-03,4843.06
2021-09-06,4933.73
2021-09-07,4992.83
2021-09-08,4972.13
2021-09-09,4970.01
2021-09-10,5013.52
2021-09-13,4991.66
2021-09-14,4917.16
2021-09-15,4867.32
2021-09-16,4807.7
2021-09-17,4855.94
2021-09-22,4821.77
2021-09-23,4853.2
2021-09-24,4849.43
2021-09-27,4877.37
2021-09-28,4883.83
2021-09-29,4833.93
2021-09-30,4866.38
